,symbol,price,realized_vol,daily_range_pct,avg_dollar_volume_M,vol_of_vol,avg_abs_return,trend_ratio,has_weekly_options,nearest_expiry_days,est_1d_straddle_pct,est_5d_straddle_pct,vol_score,range_score,liq_score,mr_score,vov_score,gamma_score
1,SOXL,76.39,1.1395,0.0799,4702.5,0.4287,0.0551,0.7052,True,-1,0.0574,0.1284,100.0,100.0,64.51711709026071,49.70484061393151,85.4973940629957,86.42364688574486
2,MARA,9.54,0.9064,0.0746,417.4,0.4543,0.043,0.5587,True,-1,0.0457,0.1021,76.68766876687668,92.34104046242774,30.37621450162587,78.53207398661945,91.2984364377974,72.98423812678062
3,MSTR,128.64,0.8565,0.0594,3049.9,0.4927,0.0388,0.638,True,-1,0.0432,0.0965,71.69716971697171,70.37572254335261,58.409316673298385,62.92798110979928,100.0,70.66260148241786
4,RIOT,16.6,0.9392,0.0728,273.2,0.3913,0.0445,0.5782,True,-1,0.0473,0.1058,79.96799679967998,89.73988439306359,24.41360794538356,74.69500196772923,77.02243371855879,70.47823513585939
5,COIN,167.85,0.7772,0.0533,2225.8,0.4232,0.0338,0.6019,True,-1,0.0392,0.0876,63.766376637663754,61.5606936416185,53.96648561066601,70.03148366784731,84.25107636528438,63.92995835903331
6,SLV,69.08,0.9028,0.0466,7055.2,0.4837,0.0412,0.9407,True,-1,0.0455,0.1017,76.32763276327633,51.87861271676301,70.24013024375861,3.36481700118064,97.96057104010877,63.86488949921813
7,MRNA,50.96,0.7614,0.063,460.3,0.3682,0.034,0.5025,True,-1,0.0384,0.0858,62.186218621862174,75.57803468208093,31.753501327607847,89.59071231798505,71.78789938817131,63.148246624309195
8,HOOD,69.19,0.648,0.05,2478.6,0.3342,0.031,0.6018,True,-1,0.0327,0.073,50.845084508450846,56.79190751445087,55.48375778717995,70.05116096025186,64.08338998413777,56.50396310844547
9,AMD,245.04,0.6056,0.0423,7670.6,0.3128,0.0269,0.5881,True,-1,0.0305,0.0682,46.6046604660466,45.66473988439306,71.41998791995074,72.7469500196773,59.23408112395197,55.20991683256764
10,NET,166.99,0.6464,0.0535,811.2,0.2859,0.03,0.5194,True,-1,0.0326,0.0728,50.68506850685067,61.849710982658955,39.735501395054754,86.26524990161354,53.138454566054826,55.08967244884027
