symbol,delta_threshold,rebalance_min,days_tested,total_pnl,avg_daily_pnl,std_daily_pnl,sharpe,win_rate,best_day,worst_day,avg_hedges_per_day,avg_transaction_costs,pnl_after_costs
QQQ,0.1,1,10,1535.58,153.56,388.38,6.28,0.6,980.66,-213.07,30.8,7.78,145.78
QQQ,0.1,5,10,1071.73,107.17,298.06,5.71,0.4,776.98,-174.98,10.8,4.64,102.53
QQQ,0.1,15,10,294.6,29.46,146.75,3.19,0.5,356.73,-219.51,5.4,3.31,26.15
QQQ,0.1,30,10,16.62,1.66,127.14,0.21,0.3,229.64,-227.41,3.4,2.65,-0.99
QQQ,0.1,60,10,344.05,34.41,138.75,3.94,0.4,291.29,-165.53,2.0,2.29,32.12
QQQ,0.15,1,10,1478.49,147.85,393.15,5.97,0.6,997.4,-221.62,20.9,6.88,140.97
QQQ,0.15,5,10,1111.54,111.15,297.03,5.94,0.4,776.98,-179.66,8.9,4.5,106.66
QQQ,0.15,15,10,321.31,32.13,147.06,3.47,0.5,356.73,-219.51,4.8,3.23,28.9
QQQ,0.15,30,10,34.72,3.47,126.94,0.43,0.3,229.64,-227.41,3.3,2.65,0.82
QQQ,0.15,60,10,344.05,34.41,138.75,3.94,0.4,291.29,-165.53,2.0,2.29,32.12
QQQ,0.2,1,10,1511.79,151.18,366.53,6.55,0.6,985.73,-214.92,16.9,6.52,144.66
QQQ,0.2,5,10,1147.49,114.75,295.78,6.16,0.4,776.98,-191.48,8.1,4.41,110.34
QQQ,0.2,15,10,350.82,35.08,161.86,3.44,0.5,402.65,-234.69,4.3,3.19,31.89
QQQ,0.2,30,10,-27.35,-2.74,128.24,-0.34,0.3,229.64,-227.41,2.8,2.53,-5.26
QQQ,0.2,60,10,283.77,28.38,140.28,3.21,0.4,291.29,-165.53,1.8,2.23,26.15
QQQ,0.3,1,10,1592.69,159.27,376.8,6.71,0.5,1003.72,-224.83,11.4,5.62,153.65
QQQ,0.3,5,10,1204.47,120.45,299.2,6.39,0.5,777.17,-186.04,6.3,4.12,116.33
QQQ,0.3,15,10,229.07,22.91,154.63,2.35,0.5,402.65,-227.41,3.7,3.01,19.9
