date,weekday,target_delta,call_strike,put_strike,actual_call_delta,actual_put_delta,strike_width,entry_gamma,entry_theta,iv,call_entry_price,put_entry_price,straddle_cost,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,peak_pnl,trough_pnl,peak_time,trough_time,total_minutes
2026-02-04,Wednesday,0.05,617.0,610.0,0.03,-0.053,7.0,8.8393,-2.8444,0.25,0.0236,0.0452,6.88,11,5.21,297.11,41.12,84.43,183.99,304.75,-8.67,15:59,14:54,89
2026-02-09,Monday,0.05,609.0,603.0,0.059,-0.072,6.0,12.8247,-4.03,0.25,0.0501,0.0631,11.32,3,1.8,65.68,53.54,21.4,6.43,76.54,-5.07,15:57,14:30,91
2026-02-11,Wednesday,0.05,621.0,614.0,0.038,-0.046,7.0,8.8187,-2.8774,0.25,0.0303,0.0381,6.85,2,1.37,44.64,36.8,113.68,-93.58,164.53,-5.07,15:27,14:30,91
2026-02-18,Wednesday,0.05,605.0,598.0,0.031,-0.046,7.0,8.4106,-2.6026,0.25,0.0233,0.0372,6.05,2,1.36,97.88,47.14,31.02,33.6,112.02,-7.56,15:57,14:49,91
2026-02-23,Monday,0.05,611.0,604.0,0.034,-0.044,7.0,8.539,-2.6964,0.25,0.027,0.0359,6.3,5,2.36,76.71,24.01,21.56,45.51,86.14,-6.54,15:52,14:38,91
2026-02-25,Wednesday,0.05,616.0,609.0,0.034,-0.047,7.0,8.7087,-2.7948,0.25,0.0269,0.0393,6.62,2,0.77,17.83,36.31,-9.4,1.17,37.89,-6.44,15:16,14:38,78
2026-03-02,Monday,0.05,603.0,597.0,0.054,-0.073,6.0,12.6853,-3.9067,0.25,0.0452,0.0638,10.9,3,1.75,55.05,48.04,24.36,-6.36,68.32,-5.07,15:33,14:30,63
2026-03-04,Wednesday,0.05,609.0,603.0,0.069,-0.062,6.0,12.8072,-4.0277,0.25,0.0598,0.0529,11.27,7,2.85,136.79,60.47,34.97,52.51,142.88,-5.47,16:00,14:32,76
2026-03-09,Monday,0.05,600.0,592.0,0.064,-0.049,8.0,8.9898,-2.7361,0.25,0.0697,0.0514,12.11,5,1.69,167.16,117.25,59.69,0.56,193.01,-5.4,15:35,13:32,146
2026-03-11,Wednesday,0.05,614.0,606.0,0.069,-0.053,8.0,9.3015,-2.9657,0.25,0.0779,0.0571,13.5,3,1.36,-3.04,-8.77,-3.28,19.85,27.29,-18.0,15:54,15:04,149
2026-03-16,Monday,0.05,604.0,596.0,0.051,-0.064,8.0,9.0752,-2.7949,0.25,0.0544,0.0701,12.45,0,0.12,-22.67,7.52,-19.42,-0.55,12.8,-17.52,14:10,15:50,123
2026-03-18,Wednesday,0.05,606.0,597.0,0.036,-0.041,9.0,6.5445,-2.0262,0.25,0.0358,0.0422,7.8,0,0.12,-18.02,-3.83,1.11,-5.08,4.58,-12.87,14:27,15:34,93
2026-03-25,Wednesday,0.05,594.0,586.0,0.043,-0.068,8.0,8.9152,-2.6528,0.25,0.0435,0.0742,11.77,4,1.34,109.82,79.27,-5.41,46.46,137.9,-7.79,15:31,13:45,151
2026-03-30,Monday,0.05,571.0,563.0,0.04,-0.055,8.0,8.2947,-2.2806,0.25,0.0391,0.0561,9.52,7,2.2,106.88,75.34,37.56,4.83,162.16,-5.67,15:51,13:33,151
2026-04-01,Wednesday,0.05,585.0,577.0,0.071,-0.037,8.0,8.7839,-2.5438,0.25,0.0769,0.0358,11.27,5,2.21,99.84,94.56,23.94,-7.68,124.27,-5.91,14:36,13:31,143
2026-04-06,Monday,0.05,592.0,584.0,0.044,-0.065,8.0,8.8476,-2.6153,0.25,0.0442,0.0708,11.5,0,0.12,-21.72,-6.8,-3.99,-0.71,12.62,-16.57,13:36,15:46,151
2026-04-09,Thursday,0.05,610.0,602.0,0.051,-0.067,8.0,9.221,-2.8963,0.25,0.055,0.0759,13.1,0,0.12,-23.32,7.91,-19.63,-1.38,16.74,-18.17,14:36,15:57,150
2026-02-04,Wednesday,0.1,616.0,611.0,0.084,-0.133,5.0,18.3945,-5.9191,0.25,0.0768,0.1344,21.12,8,3.46,192.64,34.48,68.8,101.85,200.06,-11.91,16:00,14:46,89
2026-02-09,Monday,0.1,608.0,603.0,0.144,-0.072,5.0,18.362,-5.7754,0.25,0.1466,0.0631,20.96,2,1.38,140.25,51.01,43.16,63.16,154.3,-5.07,15:57,14:30,91
2026-02-11,Wednesday,0.1,620.0,615.0,0.099,-0.117,5.0,18.3763,-5.9959,0.25,0.0945,0.1159,21.04,3,1.84,81.23,41.92,56.91,-3.23,94.43,-5.07,15:27,14:30,91
2026-02-18,Wednesday,0.1,604.0,599.0,0.086,-0.12,5.0,18.1437,-5.6144,0.25,0.0775,0.1162,19.37,4,2.04,141.62,109.3,24.73,23.04,155.62,-7.31,15:57,14:35,91
2026-02-23,Monday,0.1,610.0,605.0,0.094,-0.115,5.0,18.2176,-5.7525,0.25,0.087,0.1118,19.88,6,2.62,175.39,92.1,45.29,53.4,189.9,-8.34,15:59,14:38,91
2026-02-25,Wednesday,0.1,615.0,610.0,0.092,-0.121,5.0,18.317,-5.8783,0.25,0.086,0.1198,20.57,2,0.76,-24.29,24.0,-19.6,-18.43,29.05,-20.17,14:51,15:49,78
2026-03-02,Monday,0.1,602.0,597.0,0.137,-0.073,5.0,18.2184,-5.616,0.25,0.1356,0.0638,19.94,2,1.45,67.84,72.53,30.4,-22.67,101.85,-5.07,15:13,14:30,63
