date,weekday,target_delta,call_strike,put_strike,call_symbol,put_symbol,entry_call,entry_put,entry_cost,exit_call,exit_put,option_pnl,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,bars,time_range,qqq_open,qqq_close,qqq_range,hedge_threshold
2025-06-02,Monday,0.25,519,513,QQQ250602C00519000,QQQ250602P00513000,1.6,0.52,212.0,2.28,0.07,23.0,114,0.0,11.26,13.15,0.37,-2.26,148,13:30-16:00,518.24,520.71,5.15,1
2025-06-03,Tuesday,0.25,524,518,QQQ250603C00524000,QQQ250603P00518000,2.0,0.2,220.0,3.17,0.03,100.0,93,0.0,-30.13,-14.13,-9.73,-6.27,138,13:30-16:00,524.57,526.95,3.9,1
2025-06-04,Wednesday,0.25,531,525,QQQ250604C00531000,QQQ250604P00525000,0.52,0.57,109.0,0.2,0.19,-70.0,106,0.0,-12.01,-5.1,-11.94,5.03,150,13:30-16:00,528.37,528.67,3.14,1
2025-06-05,Thursday,0.25,532,526,QQQ250605C00532000,QQQ250605P00526000,1.44,0.67,211.0,1.65,0.09,-37.0,104,0.0,-25.22,-2.59,-6.01,-16.62,151,13:30-16:00,530.67,532.7,5.25,1
2025-06-06,Friday,0.25,530,524,QQQ250606C00530000,QQQ250606P00524000,1.69,0.34,203.0,1.39,0.11,-53.0,107,0.0,-27.4,-28.5,-8.49,9.59,144,13:30-16:00,529.83,530.37,2.44,1
2025-06-09,Monday,0.25,533,527,QQQ250609C00533000,QQQ250609P00527000,0.61,0.65,126.0,0.31,0.14,-81.0,102,0.0,-53.57,-43.44,-4.44,-5.69,151,13:30-16:00,530.38,531.07,3.01,1
2025-06-10,Tuesday,0.25,534,528,QQQ250610C00534000,QQQ250610P00528000,0.61,0.48,109.0,0.33,0.17,-59.0,107,0.0,-16.91,-27.72,-5.52,16.33,150,13:30-16:00,531.66,532.09,2.78,1
2025-06-11,Wednesday,0.25,537,531,QQQ250611C00537000,QQQ250611P00531000,0.98,0.41,139.0,0.36,0.17,-86.0,100,0.0,-17.66,-27.0,-7.58,16.92,149,13:30-16:00,535.57,535.26,3.4,1
2025-06-12,Thursday,0.25,534,528,QQQ250612C00534000,QQQ250612P00528000,0.74,0.57,131.0,0.89,0.15,-27.0,113,0.0,-27.18,-25.08,-0.34,-1.76,151,13:30-16:00,531.83,533.6,3.17,1
2025-06-13,Friday,0.25,529,523,QQQ250613C00529000,QQQ250613P00523000,1.87,0.51,238.0,2.69,0.09,40.0,110,0.0,-28.62,-24.12,-12.31,7.81,150,13:30-16:00,528.67,531.19,5.19,1
2025-06-16,Monday,0.25,532,527,QQQ250616C00532000,QQQ250616P00527000,1.24,0.36,160.0,2.82,0.1,132.0,94,0.0,7.66,7.52,13.85,-13.71,139,13:30-16:00,531.61,534.46,3.72,1
2025-06-17,Tuesday,0.25,534,528,QQQ250617C00534000,QQQ250617P00528000,0.81,0.37,118.0,0.37,0.13,-68.0,106,0.0,-27.65,-36.81,-3.08,12.24,151,13:30-16:00,532.42,532.72,2.24,1
